                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.76858,                 1.5436,                0.75271,                 1.1419,                0.85844,                0.67299,                0.76033,                 0.5567,                0.83204,                0.66281,                0.72298,                 0.4675,                 1.0156,                 1.8294,                0.96298,                  1.161,             0.00053785,             0.00053785,             0.00053785
                     50,                0.75734,                 1.5254,                0.75184,                 1.1311,                 0.8415,                0.67068,                0.75458,                0.55299,                0.82807,                0.67055,                0.73291,                0.47082,                 1.0137,                 1.7722,                0.96459,                  1.162,             0.00050738,             0.00050738,             0.00050738
                     51,                0.75037,                 1.5063,                0.73414,                 1.1293,                0.86051,                0.68918,                0.76896,                0.56663,                0.85531,                0.68501,                0.75251,                0.47863,                 1.0046,                 1.7754,                0.94389,                 1.1481,             0.00047692,             0.00047692,             0.00047692
                     52,                0.74519,                 1.4925,                  0.726,                 1.1279,                0.83835,                 0.6975,                0.77808,                0.57998,                0.85333,                0.68363,                0.75946,                0.48925,                0.98222,                 1.7624,                0.91022,                 1.1251,             0.00044646,             0.00044646,             0.00044646
                     53,                0.75135,                 1.4808,                0.72422,                 1.1262,                0.86202,                0.69639,                0.77506,                0.57387,                0.84215,                0.70259,                0.75986,                0.49422,                0.97968,                 1.7731,                0.91341,                 1.1315,               0.000416,               0.000416,               0.000416
                     54,                0.74511,                  1.499,                0.73067,                 1.1287,                 0.8462,                0.69426,                0.77758,                0.57957,                0.84436,                0.69758,                0.76585,                 0.4899,                0.97062,                 1.7567,                0.90197,                 1.1168,             0.00038554,             0.00038554,             0.00038554
                     55,                 0.7365,                  1.487,                0.71692,                 1.1205,                0.84027,                0.68375,                 0.7732,                0.56855,                0.83936,                0.66744,                0.75375,                0.48772,                 1.0017,                 1.7676,                0.92895,                  1.142,             0.00035508,             0.00035508,             0.00035508
                     56,                0.69654,                 1.3042,                0.64556,                 1.1584,                0.85445,                0.70329,                0.78019,                0.57225,                0.84015,                0.69519,                0.76149,                0.48889,                0.98272,                 1.7559,                0.90104,                 1.1268,             0.00032462,             0.00032462,             0.00032462
                     57,                0.67175,                 1.2619,                0.60967,                 1.1371,                0.86209,                 0.7049,                0.78769,                0.59035,                0.87164,                0.69334,                  0.776,                0.50516,                0.95686,                 1.7446,                0.85981,                 1.1138,             0.00029415,             0.00029415,             0.00029415
                     58,                0.66009,                 1.2199,                0.58178,                 1.1276,                0.85759,                0.71785,                0.79003,                0.59021,                0.84567,                0.70629,                0.77005,                0.50259,                0.95892,                 1.7616,                 0.8617,                 1.1091,             0.00026369,             0.00026369,             0.00026369
                     59,                0.65167,                 1.2149,                0.57348,                 1.1239,                0.85288,                0.70953,                0.79068,                0.59217,                 0.8421,                0.70305,                0.77122,                0.50628,                0.95862,                  1.752,                 0.8618,                 1.1157,             0.00023323,             0.00023323,             0.00023323
                     60,                0.63854,                 1.2025,                0.56468,                 1.1103,                0.86486,                0.72479,                0.80476,                0.59794,                0.85839,                0.71777,                0.78921,                0.50968,                0.95853,                 1.7438,                0.82576,                 1.1148,             0.00020277,             0.00020277,             0.00020277
                     61,                0.62574,                  1.192,                 0.5467,                 1.1019,                0.87213,                0.71647,                0.80133,                 0.5993,                0.85876,                0.70871,                0.77866,                0.51254,                0.94614,                 1.7306,                0.82263,                 1.1058,             0.00017231,             0.00017231,             0.00017231
                     62,                0.62492,                 1.1735,                 0.5452,                 1.0999,                0.89153,                0.71467,                 0.8076,                0.60376,                0.87841,                0.70722,                0.79009,                0.51613,                0.94114,                 1.7272,                 0.8129,                 1.1011,             0.00014185,             0.00014185,             0.00014185
                     63,                0.61014,                  1.179,                0.53288,                 1.0943,                0.88225,                 0.7197,                0.80227,                0.60027,                0.86723,                0.71508,                0.78314,                0.51344,                0.93761,                 1.7117,                0.81807,                  1.095,             0.00011138,             0.00011138,             0.00011138
                     64,                0.60937,                 1.1551,                0.53751,                 1.0943,                0.89331,                0.70907,                0.80068,                0.60266,                0.87991,                0.69843,                0.77856,                 0.5103,                0.93634,                 1.7271,                0.83156,                 1.0907,             8.0923e-05,             8.0923e-05,             8.0923e-05
                     65,                0.59285,                 1.1448,                0.52186,                 1.0761,                0.89113,                0.71415,                0.80567,                0.60637,                0.87413,                 0.7067,                0.78384,                0.51682,                0.93165,                   1.73,                0.82125,                 1.0859,             5.0462e-05,             5.0462e-05,             5.0462e-05
